
[2] Neutron Bomb
  32.49% | -6200 ms | vs [2] Neutron Bomb
  32.39% | -3000 ms | vs [22] Colorful Whirlwind
  31.18% | 1400 ms | vs [26] Color Storm
  30.79% | 100 ms | vs [23] City Crasher
  28.57% | -5900 ms | vs [15] Super Crackle Rainbow
  25.00% | 0 ms | vs [24] Silver Screen
  25.00% | 9600 ms | vs [29] Christmas Eve
  25.00% | -3200 ms | vs [31] Naughty or Nice
  25.00% | 600 ms | vs [48] Howling Nishiki
  22.83% | -3100 ms | vs [47] Azurallure
  22.73% | 1600 ms | vs [18] Hit the Road, Jack
  20.74% | -9200 ms | vs [17] Deep Ocean
  18.39% | -2800 ms | vs [19] High Falutin
  16.67% | -5300 ms | vs [32] Evil Priest
  16.14% | 300 ms | vs [11] Fiesta 99
  5.68% | 2800 ms | vs [51] 3 Minute Mayhem
  0.00% | 0 ms | vs [4] Be All & End All
  0.00% | 0 ms | vs [49] No Way!

[28] Courageous!
  46.92% | -500 ms | vs [56] Thirsty Thursday
  43.44% | -1900 ms | vs [46] Azura Burst
  40.00% | 4000 ms | vs [14] Star Chaser
  40.00% | -1400 ms | vs [30] Breakthrough
  38.46% | -2800 ms | vs [21] Peace Out
  38.04% | 1400 ms | vs [16] Strobing Willow
  33.33% | 100 ms | vs [52] Flourescent
  30.00% | 3200 ms | vs [3] Occupy Mars
  30.00% | -3500 ms | vs [29] Christmas Eve
  30.00% | 1300 ms | vs [48] Howling Nishiki
  30.00% | -7900 ms | vs [57] Colorful Skies
  30.00% | -4400 ms | vs [59] Big Color
  28.57% | -200 ms | vs [12] Ion Blaster
  28.09% | 4700 ms | vs [54] Blue Jacket
  27.42% | 5400 ms | vs [58] Wild Horses
  25.87% | -3800 ms | vs [22] Colorful Whirlwind
  24.90% | 2900 ms | vs [26] Color Storm
  23.08% | -900 ms | vs [20] Hot Hot Hot
  21.49% | -8600 ms | vs [23] City Crasher
  20.83% | -8800 ms | vs [17] Deep Ocean
  20.68% | -1500 ms | vs [2] Neutron Bomb
  20.00% | -7300 ms | vs [24] Silver Screen
  18.55% | -2800 ms | vs [47] Azurallure
  18.18% | -8500 ms | vs [18] Hit the Road, Jack
  18.18% | -6500 ms | vs [31] Naughty or Nice
  17.63% | -3800 ms | vs [53] MOAB 9S
  16.67% | -8500 ms | vs [1] Turn it Loose
  15.66% | 1600 ms | vs [13] Saturday Night Special
  15.20% | -6700 ms | vs [32] Evil Priest
  13.65% | -1800 ms | vs [15] Super Crackle Rainbow
  9.47% | 600 ms | vs [19] High Falutin
  6.82% | -6800 ms | vs [51] 3 Minute Mayhem
  6.50% | -3100 ms | vs [11] Fiesta 99
  0.00% | 0 ms | vs [4] Be All & End All
  0.00% | 0 ms | vs [49] No Way!

[56] Thirsty Thursday
  46.92% | 500 ms | vs [28] Courageous!
  41.67% | 1500 ms | vs [52] Flourescent
  40.00% | -4400 ms | vs [3] Occupy Mars
  40.00% | 1700 ms | vs [16] Strobing Willow
  39.69% | -600 ms | vs [29] Christmas Eve
  38.46% | -2300 ms | vs [21] Peace Out
  37.88% | -4300 ms | vs [58] Wild Horses
  36.23% | -900 ms | vs [46] Azura Burst
  33.33% | -5900 ms | vs [22] Colorful Whirlwind
  30.77% | -800 ms | vs [20] Hot Hot Hot
  30.64% | -4700 ms | vs [26] Color Storm
  30.00% | 8200 ms | vs [14] Star Chaser
  30.00% | -5200 ms | vs [24] Silver Screen
  30.00% | 6400 ms | vs [30] Breakthrough
  30.00% | 2000 ms | vs [48] Howling Nishiki
  30.00% | 7300 ms | vs [54] Blue Jacket
  30.00% | 3700 ms | vs [57] Colorful Skies
  30.00% | 3600 ms | vs [59] Big Color
  28.57% | 2600 ms | vs [12] Ion Blaster
  27.78% | -8900 ms | vs [2] Neutron Bomb
  27.74% | -4700 ms | vs [53] MOAB 9S
  27.21% | -6400 ms | vs [13] Saturday Night Special
  26.73% | -4900 ms | vs [23] City Crasher
  25.00% | 2100 ms | vs [1] Turn it Loose
  23.81% | -3600 ms | vs [15] Super Crackle Rainbow
  20.98% | 1200 ms | vs [18] Hit the Road, Jack
  19.63% | -5600 ms | vs [17] Deep Ocean
  19.05% | 8200 ms | vs [47] Azurallure
  18.18% | 400 ms | vs [31] Naughty or Nice
  16.67% | -7900 ms | vs [32] Evil Priest
  12.71% | 1100 ms | vs [19] High Falutin
  9.51% | 3500 ms | vs [11] Fiesta 99
  6.74% | -4500 ms | vs [51] 3 Minute Mayhem
  0.00% | 0 ms | vs [4] Be All & End All
  0.00% | 0 ms | vs [49] No Way!

[22] Colorful Whirlwind
  46.30% | -300 ms | vs [46] Azura Burst
  40.00% | 2100 ms | vs [21] Peace Out
  38.83% | -5200 ms | vs [58] Wild Horses
  33.33% | 1900 ms | vs [1] Turn it Loose
  33.33% | -200 ms | vs [3] Occupy Mars
  33.33% | 6400 ms | vs [12] Ion Blaster
  33.33% | -1500 ms | vs [20] Hot Hot Hot
  33.33% | 5900 ms | vs [56] Thirsty Thursday
  33.32% | 5400 ms | vs [29] Christmas Eve
  32.39% | 3000 ms | vs [52] Flourescent
  32.12% | -6500 ms | vs [2] Neutron Bomb
  31.88% | -4700 ms | vs [13] Saturday Night Special
  31.36% | 5600 ms | vs [23] City Crasher
  31.25% | 1800 ms | vs [26] Color Storm
  26.94% | -8100 ms | vs [18] Hit the Road, Jack
  26.73% | -2500 ms | vs [17] Deep Ocean
  26.67% | 8000 ms | vs [14] Star Chaser
  26.67% | 100 ms | vs [30] Breakthrough
  26.67% | -3600 ms | vs [48] Howling Nishiki
  26.67% | -3900 ms | vs [57] Colorful Skies
  25.96% | 7500 ms | vs [16] Strobing Willow
  25.87% | 3800 ms | vs [28] Courageous!
  25.19% | 3300 ms | vs [59] Big Color
  22.75% | -5900 ms | vs [15] Super Crackle Rainbow
  20.00% | -9600 ms | vs [24] Silver Screen
  19.59% | 6000 ms | vs [54] Blue Jacket
  19.13% | -7300 ms | vs [53] MOAB 9S
  19.05% | -1200 ms | vs [47] Azurallure
  15.01% | -500 ms | vs [19] High Falutin
  13.33% | 3300 ms | vs [11] Fiesta 99
  13.33% | -8400 ms | vs [31] Naughty or Nice
  13.33% | -5400 ms | vs [32] Evil Priest
  13.30% | -9700 ms | vs [49] No Way!
  6.82% | -5000 ms | vs [51] 3 Minute Mayhem
  0.00% | 0 ms | vs [4] Be All & End All

[3] Occupy Mars
  46.03% | -3100 ms | vs [21] Peace Out
  44.44% | 3700 ms | vs [30] Breakthrough
  44.44% | 2900 ms | vs [57] Colorful Skies
  44.35% | 3200 ms | vs [46] Azura Burst
  41.67% | -1700 ms | vs [52] Flourescent
  40.00% | -400 ms | vs [16] Strobing Willow
  40.00% | 4400 ms | vs [56] Thirsty Thursday
  37.62% | 3400 ms | vs [58] Wild Horses
  37.03% | -200 ms | vs [26] Color Storm
  35.26% | 2800 ms | vs [12] Ion Blaster
  33.33% | 9900 ms | vs [1] Turn it Loose
  33.33% | -6000 ms | vs [14] Star Chaser
  33.33% | 200 ms | vs [22] Colorful Whirlwind
